"pollster","pollster_rating_name","sample_size","candidate_name","pct"
"Trafalgar Group","Trafalgar Group",1086,"Kamala Harris",48.2
"Trafalgar Group","Trafalgar Group",1086,"Donald Trump",47
"Trafalgar Group","Trafalgar Group",1079,"Kamala Harris",47.4
"Trafalgar Group","Trafalgar Group",1079,"Donald Trump",47.8
"TIPP","TIPP Insights",1411,"Kamala Harris",48
"TIPP","TIPP Insights",1411,"Donald Trump",48
"TIPP","TIPP Insights",1411,"Kamala Harris",48.3
"TIPP","TIPP Insights",1411,"Donald Trump",48.8
"Victory Insights","Victory Insights",600,"Kamala Harris",49.6
"Victory Insights","Victory Insights",600,"Donald Trump",44.7
"Leger","Leger",886,"Kamala Harris",49.4
"Leger","Leger",886,"Donald Trump",48.5
"Emerson","Emerson College",800,"Kamala Harris",44.8
"Emerson","Emerson College",800,"Donald Trump",53.9
"AtlasIntel","AtlasIntel",2463,"Kamala Harris",47.2
"AtlasIntel","AtlasIntel",2463,"Donald Trump",49
"AtlasIntel","AtlasIntel",2463,"Kamala Harris",48.3
"AtlasIntel","AtlasIntel",2463,"Donald Trump",49.8
"AtlasIntel","AtlasIntel",967,"Kamala Harris",45.1
"AtlasIntel","AtlasIntel",967,"Donald Trump",51.9
"AtlasIntel","AtlasIntel",967,"Kamala Harris",45.8
"AtlasIntel","AtlasIntel",967,"Donald Trump",52.3
"AtlasIntel","AtlasIntel",1174,"Kamala Harris",46.8
"AtlasIntel","AtlasIntel",1174,"Donald Trump",48.6
"AtlasIntel","AtlasIntel",1174,"Kamala Harris",47.6
"AtlasIntel","AtlasIntel",1174,"Donald Trump",50.1
"AtlasIntel","AtlasIntel",1198,"Kamala Harris",47.8
"AtlasIntel","AtlasIntel",1198,"Donald Trump",49.3
"AtlasIntel","AtlasIntel",1198,"Kamala Harris",48.2
"AtlasIntel","AtlasIntel",1198,"Donald Trump",49.7
"AtlasIntel","AtlasIntel",728,"Kamala Harris",48
"AtlasIntel","AtlasIntel",728,"Donald Trump",49.3
"AtlasIntel","AtlasIntel",728,"Kamala Harris",48.6
"AtlasIntel","AtlasIntel",728,"Donald Trump",49.6
"AtlasIntel","AtlasIntel",2049,"Kamala Harris",47.4
"AtlasIntel","AtlasIntel",2049,"Donald Trump",49.1
"AtlasIntel","AtlasIntel",2049,"Kamala Harris",47.8
"AtlasIntel","AtlasIntel",2049,"Donald Trump",49.6
"AtlasIntel","AtlasIntel",1310,"Kamala Harris",46.8
"AtlasIntel","AtlasIntel",1310,"Donald Trump",50.4
"AtlasIntel","AtlasIntel",1310,"Kamala Harris",47.1
"AtlasIntel","AtlasIntel",1310,"Donald Trump",50.5
"AtlasIntel","AtlasIntel",782,"Kamala Harris",45.9
"AtlasIntel","AtlasIntel",782,"Donald Trump",51.4
"AtlasIntel","AtlasIntel",782,"Kamala Harris",46
"AtlasIntel","AtlasIntel",782,"Donald Trump",51.5
"InsiderAdvantage","InsiderAdvantage",800,"Kamala Harris",46
"InsiderAdvantage","InsiderAdvantage",800,"Donald Trump",49
"InsiderAdvantage","InsiderAdvantage",800,"Kamala Harris",47
"InsiderAdvantage","InsiderAdvantage",800,"Donald Trump",47
"InsiderAdvantage","InsiderAdvantage",800,"Kamala Harris",48
"Victory Insights","Victory Insights",400,"Kamala Harris",46.9
"Victory Insights","Victory Insights",400,"Donald Trump",51.2
"TIPP","TIPP Insights",1305,"Kamala Harris",48
"TIPP","TIPP Insights",1305,"Donald Trump",49
"TIPP","TIPP Insights",1305,"Kamala Harris",47.6
"TIPP","TIPP Insights",1305,"Donald Trump",48.6
"Marist","Marist College",1297,"Kamala Harris",51
"Marist","Marist College",1297,"Donald Trump",47
"Marist","Marist College",1446,"Kamala Harris",49
"Marist","Marist College",1446,"Donald Trump",49
"Emerson","Emerson College",1000,"Kamala Harris",49.4
"Emerson","Emerson College",1000,"Donald Trump",49.2
"Hart/POS","Hart Research Associates/Public Opinion Strategies",1000,"Kamala Harris",46
"Hart/POS","Hart Research Associates/Public Opinion Strategies",1000,"Donald Trump",47
"Hart/POS","Hart Research Associates/Public Opinion Strategies",1000,"Kamala Harris",49
"Hart/POS","Hart Research Associates/Public Opinion Strategies",1000,"Donald Trump",49
"Emerson","Emerson College",900,"Kamala Harris",48.7
"Emerson","Emerson College",900,"Donald Trump",50.8
"Emerson","Emerson College",790,"Kamala Harris",50.5
"Emerson","Emerson College",790,"Donald Trump",48.9
"Emerson","Emerson College",840,"Kamala Harris",48.9
"Emerson","Emerson College",840,"Donald Trump",49
"Emerson","Emerson College",1000,"Kamala Harris",49.2
"Emerson","Emerson College",1000,"Donald Trump",49.9
"Emerson","Emerson College",800,"Kamala Harris",49.5
"Emerson","Emerson College",800,"Donald Trump",49.8
"Emerson","Emerson College",800,"Kamala Harris",49.3
"Emerson","Emerson College",860,"Kamala Harris",49.3
"Emerson","Emerson College",860,"Donald Trump",49.7
"Emerson","Emerson College",900,"Kamala Harris",43.5
"Emerson","Emerson College",900,"Donald Trump",54.7
"Siena/NYT","The New York Times/Siena College",998,"Kamala Harris",44
"Siena/NYT","The New York Times/Siena College",998,"Donald Trump",47
"Siena/NYT","The New York Times/Siena College",998,"Kamala Harris",42
"Siena/NYT","The New York Times/Siena College",998,"Donald Trump",44
"Siena/NYT","The New York Times/Siena College",998,"Kamala Harris",47
"Siena/NYT","The New York Times/Siena College",998,"Kamala Harris",45
"Siena/NYT","The New York Times/Siena College",998,"Donald Trump",45
"Siena/NYT","The New York Times/Siena College",1527,"Kamala Harris",47
"Siena/NYT","The New York Times/Siena College",1527,"Donald Trump",48
"Siena/NYT","The New York Times/Siena College",1527,"Kamala Harris",46
"Siena/NYT","The New York Times/Siena College",1527,"Donald Trump",47
"Siena/NYT","The New York Times/Siena College",1527,"Kamala Harris",48
"U. New Hampshire","University of New Hampshire Survey Center",2814,"Kamala Harris",51
"U. New Hampshire","University of New Hampshire Survey Center",2814,"Donald Trump",46
"U. New Hampshire","University of New Hampshire Survey Center",1485,"Kamala Harris",52
"U. New Hampshire","University of New Hampshire Survey Center",1485,"Donald Trump",41
"U. New Hampshire","University of New Hampshire Survey Center",744,"Kamala Harris",60
"U. New Hampshire","University of New Hampshire Survey Center",708,"Kamala Harris",54
"U. New Hampshire","University of New Hampshire Survey Center",708,"Donald Trump",40
"U. New Hampshire","University of New Hampshire Survey Center",801,"Kamala Harris",60
"U. New Hampshire","University of New Hampshire Survey Center",683,"Kamala Harris",44
"U. New Hampshire","University of New Hampshire Survey Center",683,"Donald Trump",48
"Mitchell","Mitchell Research & Communications",585,"Kamala Harris",49
"Mitchell","Mitchell Research & Communications",585,"Donald Trump",48
"Mitchell","Mitchell Research & Communications",585,"Kamala Harris",50
"Siena/NYT","The New York Times/Siena College",1010,"Kamala Harris",48
"Siena/NYT","The New York Times/Siena College",1010,"Donald Trump",44
"Siena/NYT","The New York Times/Siena College",1010,"Kamala Harris",47
"Siena/NYT","The New York Times/Siena College",1010,"Donald Trump",43
"Siena/NYT","The New York Times/Siena College",1010,"Donald Trump",46
"Siena/NYT","The New York Times/Siena College",1010,"Donald Trump",45
"ActiVote","ActiVote",1000,"Kamala Harris",49.5
"ActiVote","ActiVote",1000,"Donald Trump",50.5
"Siena/NYT","The New York Times/Siena College",1025,"Kamala Harris",44
"Siena/NYT","The New York Times/Siena College",1025,"Donald Trump",48
"Siena/NYT","The New York Times/Siena College",1025,"Kamala Harris",42
"Siena/NYT","The New York Times/Siena College",1025,"Donald Trump",47
"Siena/NYT","The New York Times/Siena College",1025,"Kamala Harris",45
"Siena/NYT","The New York Times/Siena College",1025,"Donald Trump",49
"Siena/NYT","The New York Times/Siena College",1305,"Kamala Harris",49
"Siena/NYT","The New York Times/Siena College",1305,"Donald Trump",47
"Siena/NYT","The New York Times/Siena College",1305,"Kamala Harris",48
"Siena/NYT","The New York Times/Siena College",1305,"Donald Trump",45
"Florida Atlantic University/Mainstreet Research","Florida Atlantic University PolCom Lab/Mainstreet Research",699,"Kamala Harris",49
"Florida Atlantic University/Mainstreet Research","Florida Atlantic University PolCom Lab/Mainstreet Research",699,"Donald Trump",47
"Florida Atlantic University/Mainstreet Research","Florida Atlantic University PolCom Lab/Mainstreet Research",798,"Kamala Harris",48
"Florida Atlantic University/Mainstreet Research","Florida Atlantic University PolCom Lab/Mainstreet Research",798,"Donald Trump",46
"Florida Atlantic University/Mainstreet Research","Florida Atlantic University PolCom Lab/Mainstreet Research",786,"Kamala Harris",49
"Florida Atlantic University/Mainstreet Research","Florida Atlantic University PolCom Lab/Mainstreet Research",786,"Donald Trump",48
"Florida Atlantic University/Mainstreet Research","Florida Atlantic University PolCom Lab/Mainstreet Research",798,"Kamala Harris",49
"Florida Atlantic University/Mainstreet Research","Florida Atlantic University PolCom Lab/Mainstreet Research",798,"Donald Trump",48
"Florida Atlantic University/Mainstreet Research","Florida Atlantic University PolCom Lab/Mainstreet Research",713,"Kamala Harris",49
"Florida Atlantic University/Mainstreet Research","Florida Atlantic University PolCom Lab/Mainstreet Research",713,"Donald Trump",47
"Florida Atlantic University/Mainstreet Research","Florida Atlantic University PolCom Lab/Mainstreet Research",733,"Kamala Harris",48
"Florida Atlantic University/Mainstreet Research","Florida Atlantic University PolCom Lab/Mainstreet Research",733,"Donald Trump",46
"Siena/NYT","The New York Times/Siena College",1010,"Kamala Harris",49
"ActiVote","ActiVote",400,"Kamala Harris",49.4
"ActiVote","ActiVote",400,"Donald Trump",50.6
"ActiVote","ActiVote",400,"Kamala Harris",48.9
"ActiVote","ActiVote",400,"Donald Trump",51.1
"ActiVote","ActiVote",400,"Kamala Harris",50.5
"ActiVote","ActiVote",400,"Donald Trump",49.5
"ActiVote","ActiVote",400,"Kamala Harris",49.7
"ActiVote","ActiVote",400,"Donald Trump",50.3
"TIPP","TIPP Insights",1000,"Kamala Harris",48
"TIPP","TIPP Insights",1000,"Donald Trump",48
"TIPP","TIPP Insights",1000,"Kamala Harris",48.1
"TIPP","TIPP Insights",1000,"Donald Trump",48.2
"HarrisX","Harris Insights & Analytics",1000,"Kamala Harris",49
"HarrisX","Harris Insights & Analytics",1000,"Donald Trump",48
"HarrisX","Harris Insights & Analytics",1000,"Kamala Harris",51
"HarrisX","Harris Insights & Analytics",1000,"Donald Trump",49
"Ipsos","Ipsos",3140,"Kamala Harris",49
"Ipsos","Ipsos",3140,"Donald Trump",46
"Ipsos","Ipsos",2735,"Kamala Harris",49
"Ipsos","Ipsos",2735,"Donald Trump",46
"Ipsos","Ipsos",2267,"Kamala Harris",49
"Ipsos","Ipsos",2267,"Donald Trump",46
"Stetson University Center for Public Opinion Research","Stetson University Center for Public Opinion Research",452,"Kamala Harris",46
"Stetson University Center for Public Opinion Research","Stetson University Center for Public Opinion Research",452,"Donald Trump",53
"Siena/NYT","The New York Times/Siena College",1004,"Kamala Harris",46
"Siena/NYT","The New York Times/Siena College",1004,"Donald Trump",46
"Siena/NYT","The New York Times/Siena College",1004,"Kamala Harris",44
"Siena/NYT","The New York Times/Siena College",1004,"Donald Trump",43
"Siena/NYT","The New York Times/Siena College",1004,"Kamala Harris",48
"Siena/NYT","The New York Times/Siena College",1004,"Donald Trump",47
"Morning Consult","Morning Consult",2022,"Kamala Harris",46.1
"Morning Consult","Morning Consult",2022,"Donald Trump",50.9
"Morning Consult","Morning Consult",1056,"Kamala Harris",47.4
"Morning Consult","Morning Consult",1056,"Donald Trump",49.2
"Morning Consult","Morning Consult",1254,"Kamala Harris",43.7
"Morning Consult","Morning Consult",1254,"Donald Trump",52.9
"ActiVote","ActiVote",400,"Kamala Harris",50.9
"ActiVote","ActiVote",400,"Donald Trump",49.1
"ActiVote","ActiVote",400,"Kamala Harris",52.3
"ActiVote","ActiVote",400,"Donald Trump",47.7
"ActiVote","ActiVote",400,"Kamala Harris",49.1
"ActiVote","ActiVote",400,"Donald Trump",50.9
"Focaldata","Focaldata",1779,"Kamala Harris",49
"Focaldata","Focaldata",1779,"Donald Trump",47
"Focaldata","Focaldata",1603,"Kamala Harris",49
"Focaldata","Focaldata",1603,"Donald Trump",47
"Focaldata","Focaldata",1779,"Kamala Harris",48
"Focaldata","Focaldata",1779,"Donald Trump",49
"Focaldata","Focaldata",1250,"Kamala Harris",47
"Focaldata","Focaldata",1250,"Donald Trump",49
"Focaldata","Focaldata",1099,"Kamala Harris",46
"Focaldata","Focaldata",1099,"Donald Trump",50
"Focaldata","Focaldata",1250,"Kamala Harris",45
"Focaldata","Focaldata",1250,"Donald Trump",52
"Focaldata","Focaldata",1850,"Kamala Harris",49
"Focaldata","Focaldata",1850,"Donald Trump",47
"Focaldata","Focaldata",1627,"Kamala Harris",50
"Focaldata","Focaldata",1627,"Donald Trump",47
"Focaldata","Focaldata",1850,"Kamala Harris",48
"Focaldata","Focaldata",1850,"Donald Trump",49
"Focaldata","Focaldata",2092,"Kamala Harris",50
"Focaldata","Focaldata",2092,"Donald Trump",44
"Focaldata","Focaldata",1941,"Kamala Harris",51
"Focaldata","Focaldata",1941,"Donald Trump",44
"Focaldata","Focaldata",2092,"Donald Trump",45
"Focaldata","Focaldata",1987,"Kamala Harris",48
"Focaldata","Focaldata",1987,"Donald Trump",46
"Focaldata","Focaldata",1785,"Kamala Harris",50
"Focaldata","Focaldata",1785,"Donald Trump",46
"Focaldata","Focaldata",1987,"Donald Trump",48
"Focaldata","Focaldata",1324,"Kamala Harris",48
"Focaldata","Focaldata",1324,"Donald Trump",44
"Focaldata","Focaldata",1197,"Kamala Harris",49
"Focaldata","Focaldata",1197,"Donald Trump",45
"Focaldata","Focaldata",1324,"Donald Trump",47
"Focaldata","Focaldata",2161,"Kamala Harris",43
"Focaldata","Focaldata",2161,"Donald Trump",52
"Focaldata","Focaldata",1867,"Kamala Harris",45
"Focaldata","Focaldata",1867,"Donald Trump",52
"Focaldata","Focaldata",2161,"Kamala Harris",44
"Focaldata","Focaldata",2161,"Donald Trump",53
"Focaldata","Focaldata",2373,"Kamala Harris",49
"Focaldata","Focaldata",2373,"Donald Trump",47
"Focaldata","Focaldata",2119,"Kamala Harris",51
"Focaldata","Focaldata",2119,"Donald Trump",47
"Focaldata","Focaldata",2373,"Kamala Harris",50
"Focaldata","Focaldata",2373,"Donald Trump",48
"Focaldata","Focaldata",1799,"Kamala Harris",49
"Focaldata","Focaldata",1799,"Donald Trump",46
"Focaldata","Focaldata",1613,"Kamala Harris",51
"Focaldata","Focaldata",1613,"Donald Trump",46
"Focaldata","Focaldata",1799,"Kamala Harris",50
"Focaldata","Focaldata",1799,"Donald Trump",47
"Kaplan Strategies","Kaplan Strategies",671,"Kamala Harris",47
"Kaplan Strategies","Kaplan Strategies",671,"Donald Trump",48
"AtlasIntel","AtlasIntel",3490,"Kamala Harris",47.2
"AtlasIntel","AtlasIntel",3490,"Donald Trump",49.1
"AtlasIntel","AtlasIntel",3490,"Kamala Harris",48.2
"AtlasIntel","AtlasIntel",3490,"Donald Trump",49.6
"AtlasIntel","AtlasIntel",1373,"Kamala Harris",46.7
"AtlasIntel","AtlasIntel",1373,"Donald Trump",50.7
"AtlasIntel","AtlasIntel",1373,"Kamala Harris",47
"AtlasIntel","AtlasIntel",1005,"Kamala Harris",45.9
"AtlasIntel","AtlasIntel",1005,"Donald Trump",50.8
"AtlasIntel","AtlasIntel",1005,"Kamala Harris",46.8
"AtlasIntel","AtlasIntel",1005,"Donald Trump",51
"AtlasIntel","AtlasIntel",1212,"Kamala Harris",47.2
"AtlasIntel","AtlasIntel",1212,"Donald Trump",48.8
"AtlasIntel","AtlasIntel",1212,"Kamala Harris",47.8
"AtlasIntel","AtlasIntel",1212,"Donald Trump",50.1
"AtlasIntel","AtlasIntel",1136,"Kamala Harris",48.3
"AtlasIntel","AtlasIntel",1136,"Donald Trump",49.2
"AtlasIntel","AtlasIntel",1136,"Kamala Harris",48.7
"AtlasIntel","AtlasIntel",1136,"Donald Trump",49.3
"AtlasIntel","AtlasIntel",845,"Kamala Harris",46.9
"AtlasIntel","AtlasIntel",845,"Donald Trump",50.5
"AtlasIntel","AtlasIntel",845,"Kamala Harris",47
"AtlasIntel","AtlasIntel",845,"Donald Trump",50.6
"AtlasIntel","AtlasIntel",1738,"Kamala Harris",47.4
"AtlasIntel","AtlasIntel",1738,"Donald Trump",48.5
"AtlasIntel","AtlasIntel",1738,"Kamala Harris",47.9
"AtlasIntel","AtlasIntel",1738,"Donald Trump",49.4
"AtlasIntel","AtlasIntel",673,"Kamala Harris",48.2
"AtlasIntel","AtlasIntel",673,"Donald Trump",48.5
"AtlasIntel","AtlasIntel",673,"Kamala Harris",49
"AtlasIntel","AtlasIntel",673,"Donald Trump",48.8
"Change Research","Change Research",600,"Donald Trump",57
"SoCal Strategies","SoCal Research",984,"Kamala Harris",49.1
"SoCal Strategies","SoCal Research",984,"Donald Trump",49.9
"SoCal Strategies","SoCal Research",750,"Kamala Harris",48.7
"SoCal Strategies","SoCal Research",750,"Donald Trump",49.5
"SoCal Strategies","SoCal Research",850,"Kamala Harris",49.7
"SoCal Strategies","SoCal Research",850,"Donald Trump",48.2
"Emerson","Emerson College",700,"Kamala Harris",48.6
"Emerson","Emerson College",700,"Donald Trump",48.3
"TIPP","TIPP Insights",1249,"Kamala Harris",48
"TIPP","TIPP Insights",1249,"Donald Trump",49
"TIPP","TIPP Insights",1249,"Kamala Harris",47.8
"TIPP","TIPP Insights",1249,"Donald Trump",48.5
"OnMessage Inc.","OnMessage Inc.",800,"Kamala Harris",47
"OnMessage Inc.","OnMessage Inc.",800,"Donald Trump",49
"OnMessage Inc.","OnMessage Inc.",800,"Kamala Harris",48
"OnMessage Inc.","OnMessage Inc.",800,"Donald Trump",48
"OnMessage Inc.","OnMessage Inc.",800,"Donald Trump",50
"Morning Consult","Morning Consult",8918,"Kamala Harris",49
"Morning Consult","Morning Consult",8918,"Donald Trump",47
"YouGov","YouGov",1267,"Kamala Harris",47
"YouGov","YouGov",1267,"Donald Trump",47
"YouGov","YouGov",1152,"Kamala Harris",48
"YouGov","YouGov",1152,"Donald Trump",48
"YouGov","YouGov",1267,"Kamala Harris",48
"YouGov","YouGov",1267,"Donald Trump",48
"YouGov","YouGov",1152,"Kamala Harris",49
"SurveyUSA","SurveyUSA",632,"Kamala Harris",50
"SurveyUSA","SurveyUSA",632,"Donald Trump",44
"Susquehanna","Susquehanna Polling & Research Inc.",400,"Kamala Harris",44.2
"Susquehanna","Susquehanna Polling & Research Inc.",400,"Donald Trump",50.2
"Redfield & Wilton Strategies","Redfield & Wilton Strategies",652,"Kamala Harris",47
"Redfield & Wilton Strategies","Redfield & Wilton Strategies",652,"Donald Trump",48
"Redfield & Wilton Strategies","Redfield & Wilton Strategies",1779,"Kamala Harris",47
"Redfield & Wilton Strategies","Redfield & Wilton Strategies",1779,"Donald Trump",48
"Redfield & Wilton Strategies","Redfield & Wilton Strategies",1731,"Kamala Harris",47
"Redfield & Wilton Strategies","Redfield & Wilton Strategies",1731,"Donald Trump",47
"Redfield & Wilton Strategies","Redfield & Wilton Strategies",690,"Kamala Harris",47
"Redfield & Wilton Strategies","Redfield & Wilton Strategies",690,"Donald Trump",48
"Redfield & Wilton Strategies","Redfield & Wilton Strategies",1123,"Kamala Harris",47
"Redfield & Wilton Strategies","Redfield & Wilton Strategies",1123,"Donald Trump",48
"Redfield & Wilton Strategies","Redfield & Wilton Strategies",1596,"Kamala Harris",48
"Redfield & Wilton Strategies","Redfield & Wilton Strategies",1596,"Donald Trump",48
"Redfield & Wilton Strategies","Redfield & Wilton Strategies",932,"Kamala Harris",48
"Redfield & Wilton Strategies","Redfield & Wilton Strategies",932,"Donald Trump",47
"Echelon Insights","Echelon Insights",1328,"Kamala Harris",49
"Echelon Insights","Echelon Insights",1328,"Donald Trump",47
"Echelon Insights","Echelon Insights",1328,"Kamala Harris",50
"Echelon Insights","Echelon Insights",1328,"Donald Trump",48
"Noble Predictive Insights","Noble Predictive Insights",593,"Kamala Harris",49
"Noble Predictive Insights","Noble Predictive Insights",593,"Donald Trump",48
"Selzer","Selzer & Co.",808,"Kamala Harris",47
"Selzer","Selzer & Co.",808,"Donald Trump",44
"East Carolina University","East Carolina University Center for Survey Research",902,"Kamala Harris",49.1
"East Carolina University","East Carolina University Center for Survey Research",902,"Donald Trump",49.5
"YouGov","YouGov",880,"Kamala Harris",47
"YouGov","YouGov",880,"Donald Trump",48
"YouGov","YouGov",856,"Kamala Harris",48
"YouGov","YouGov",856,"Donald Trump",48
"YouGov","YouGov",880,"Kamala Harris",49
"YouGov","YouGov",880,"Donald Trump",50
"YouGov","YouGov",856,"Kamala Harris",49
"YouGov","YouGov",856,"Donald Trump",50
"YouGov","YouGov",984,"Kamala Harris",46
"YouGov","YouGov",984,"Donald Trump",48
"YouGov","YouGov",939,"Kamala Harris",47
"YouGov","YouGov",939,"Donald Trump",48
"YouGov","YouGov",984,"Kamala Harris",48
"YouGov","YouGov",984,"Donald Trump",50
"YouGov","YouGov",939,"Kamala Harris",48
"YouGov","YouGov",939,"Donald Trump",50
"YouGov","YouGov",985,"Kamala Harris",47
"YouGov","YouGov",985,"Donald Trump",45
"YouGov","YouGov",942,"Kamala Harris",48
"YouGov","YouGov",942,"Donald Trump",45
"YouGov","YouGov",985,"Kamala Harris",50
"YouGov","YouGov",985,"Donald Trump",46
"YouGov","YouGov",942,"Kamala Harris",50
"YouGov","YouGov",942,"Donald Trump",47
"YouGov","YouGov",790,"Kamala Harris",48
"YouGov","YouGov",790,"Donald Trump",47
"YouGov","YouGov",773,"Kamala Harris",48
"YouGov","YouGov",773,"Donald Trump",47
"YouGov","YouGov",790,"Kamala Harris",50
"YouGov","YouGov",790,"Donald Trump",49
"YouGov","YouGov",773,"Kamala Harris",50
"YouGov","YouGov",773,"Donald Trump",49
"YouGov","YouGov",987,"Kamala Harris",47
"YouGov","YouGov",987,"Donald Trump",48
"YouGov","YouGov",949,"Kamala Harris",48
"YouGov","YouGov",949,"Donald Trump",49
"YouGov","YouGov",987,"Kamala Harris",49
"YouGov","YouGov",987,"Donald Trump",49
"YouGov","YouGov",949,"Kamala Harris",49
"YouGov","YouGov",949,"Donald Trump",50
"YouGov","YouGov",982,"Kamala Harris",48
"YouGov","YouGov",982,"Donald Trump",46
"YouGov","YouGov",956,"Kamala Harris",49
"YouGov","YouGov",956,"Donald Trump",46
"YouGov","YouGov",982,"Kamala Harris",50
"YouGov","YouGov",982,"Donald Trump",48
"YouGov","YouGov",956,"Kamala Harris",51
"YouGov","YouGov",956,"Donald Trump",48
"YouGov","YouGov",889,"Kamala Harris",48
"YouGov","YouGov",889,"Donald Trump",45
"YouGov","YouGov",867,"Kamala Harris",49
"YouGov","YouGov",867,"Donald Trump",45
"YouGov","YouGov",889,"Kamala Harris",51
"YouGov","YouGov",889,"Donald Trump",47
"YouGov","YouGov",867,"Kamala Harris",51
"YouGov","YouGov",867,"Donald Trump",47
"Data for Progress","Data for Progress",908,"Kamala Harris",50
"Data for Progress","Data for Progress",908,"Donald Trump",48
"Data for Progress","Data for Progress",972,"Kamala Harris",49
"Data for Progress","Data for Progress",972,"Donald Trump",48
"Morning Consult","Morning Consult",1108,"Kamala Harris",48.5
"Morning Consult","Morning Consult",1108,"Donald Trump",47.5
"Morning Consult","Morning Consult",1538,"Kamala Harris",48
"Morning Consult","Morning Consult",1538,"Donald Trump",48
"Morning Consult","Morning Consult",2120,"Kamala Harris",45
"Morning Consult","Morning Consult",2120,"Donald Trump",51.7
"Morning Consult","Morning Consult",540,"Kamala Harris",47.6
"Morning Consult","Morning Consult",540,"Donald Trump",48.2
"TIPP","TIPP Insights",1265,"Kamala Harris",48
"TIPP","TIPP Insights",1265,"Donald Trump",48
"American Pulse","American Pulse Research & Polling",822,"Kamala Harris",47.7
"American Pulse","American Pulse Research & Polling",822,"Donald Trump",45.9
"American Pulse","American Pulse Research & Polling",822,"Kamala Harris",49
"American Pulse","American Pulse Research & Polling",822,"Donald Trump",47.2
"Keating Research","Keating Research",600,"Kamala Harris",53
"Keating Research","Keating Research",600,"Donald Trump",41
"TIPP","TIPP Insights",1038,"Kamala Harris",48
"TIPP","TIPP Insights",1038,"Donald Trump",46
"TIPP","TIPP Insights",831,"Kamala Harris",48
"TIPP","TIPP Insights",831,"Donald Trump",48
"TIPP","TIPP Insights",1038,"Kamala Harris",46
"TIPP","TIPP Insights",1038,"Donald Trump",44
"TIPP","TIPP Insights",831,"Donald Trump",47
"Noble Predictive Insights","Noble Predictive Insights",775,"Kamala Harris",47
"Noble Predictive Insights","Noble Predictive Insights",775,"Donald Trump",48
"OnMessage Inc.","OnMessage Inc.",800,"Kamala Harris",45
"OnMessage Inc.","OnMessage Inc.",800,"Donald Trump",47
"Chism Strategies","Blueprint Polling",520,"Kamala Harris",45.2
"Chism Strategies","Blueprint Polling",520,"Donald Trump",44.5
"Chism Strategies","Blueprint Polling",534,"Kamala Harris",48.3
"Chism Strategies","Blueprint Polling",534,"Donald Trump",42.9
"Chism Strategies","Blueprint Polling",510,"Kamala Harris",55.8
"Miami University (Ohio)","Miami University Department of Political Science",859,"Kamala Harris",46
"Miami University (Ohio)","Miami University Department of Political Science",859,"Donald Trump",49
"Morning Consult","Morning Consult",8868,"Kamala Harris",50
"Morning Consult","Morning Consult",8868,"Donald Trump",47
